responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
7.636363636363637,present,11.176470588235293,1,7.636363636363637,present,6.65654295129678,1.585514262573266,3.8655072924549687,10.575451695094989
7.7272727272727275,absent,11.176470588235293,1,7.7272727272727275,absent,3.3424410758467626,1.4021892879028013,1.5577492277253304,8.248848041906994
7.7272727272727275,present,11.176470588235293,1,7.7272727272727275,present,6.549124104975797,1.5931057701146294,3.7638394530816703,10.496041248372302
7.818181818181818,absent,11.176470588235293,1,7.818181818181818,absent,3.229387715540394,1.374281262425964,1.5034113538378335,8.154709873618579
7.818181818181818,present,11.176470588235293,1,7.818181818181818,present,6.440617095189534,1.5981205968334653,3.665573118958873,10.415577995303732
7.909090909090909,absent,11.176470588235293,1,7.909090909090909,absent,3.122492938764191,1.3471874369081691,1.4526100958875239,8.063160519127546
7.909090909090909,present,11.176470588235293,1,7.909090909090909,present,6.335880845528395,1.6015935607135823,3.564149325471892,10.33397810552477
8,absent,11.176470588235293,1,8,absent,3.0201214519798727,1.3130892234502511,1.407771736620394,7.963631733873609
8,present,11.176470588235293,1,8,present,6.23490601680165,1.609775547314013,3.4707950812365627,10.249211315448832
8.09090909090909,absent,11.176470588235293,1,8.09090909090909,absent,2.922569209970901,1.2778031739251015,1.3664560559888592,7.884997947037306
8.09090909090909,present,11.176470588235293,1,8.09090909090909,present,6.129895046170152,1.613063414332635,3.376382443821898,10.171089205594328
8.181818181818182,absent,11.176470588235293,1,8.181818181818182,absent,2.830042183117772,1.247498561385268,1.3300392452148053,7.795632863567474
8.181818181818182,present,11.176470588235293,1,8.181818181818182,present,6.027170779395211,1.6192936842898749,3.2882134866334876,10.10037345967937
8.272727272727273,absent,11.176470588235293,1,8.272727272727273,absent,2.739199488452637,1.214088772341872,1.2953937614664093,7.708442199055634
8.272727272727273,present,11.176470588235293,1,8.272727272727273,present,5.925876023590872,1.622985219446682,3.1979362467121386,10.03320036968795
8.363636363636363,absent,11.176470588235293,1,8.363636363636363,absent,2.652995372475015,1.1837257520058677,1.2631049942217463,7.618382648160083
8.363636363636363,present,11.176470588235293,1,8.363636363636363,present,5.823887599824159,1.6252389152251094,3.1122908387636774,9.956684255603284
8.454545454545455,absent,11.176470588235293,1,8.454545454545455,absent,2.573741272978621,1.1541811121477938,1.233449713136138,7.53727761071092
8.454545454545455,present,11.176470588235293,1,8.454545454545455,present,5.725384836658948,1.6340664374631249,3.0256861680884635,9.888263689035748
8.545454545454547,absent,11.176470588235293,1,8.545454545454547,absent,2.4976259467670427,1.1238400389946224,1.208848387432657,7.449697458577077
8.545454545454547,present,11.176470588235293,1,8.545454545454547,present,5.627826311313087,1.6371387138545266,2.941115550749562,9.822155643724052
8.636363636363637,absent,11.176470588235293,1,8.636363636363637,absent,2.4229164009546684,1.0956012467521006,1.1859319448875667,7.366636466659232
8.636363636363637,present,11.176470588235293,1,8.636363636363637,present,5.5324635949523815,1.6457970204253092,2.858153606556722,9.746819170236343
8.727272727272727,absent,11.176470588235293,1,8.727272727272727,absent,2.353430095450361,1.066404500002465,1.165338928528259,7.274786243126233
8.727272727272727,present,11.176470588235293,1,8.727272727272727,present,5.435264762547176,1.6517262823546395,2.7803733237395787,9.679909610605145
8.818181818181818,absent,11.176470588235293,1,8.818181818181818,absent,2.286934352277332,1.036023301235034,1.1473209070565478,7.191305340341711
8.818181818181818,present,11.176470588235293,1,8.818181818181818,present,5.338886570276095,1.6535596732328628,2.6999775395993852,9.62539570407797
8.90909090909091,absent,11.176470588235293,1,8.90909090909091,absent,2.225915375721002,1.0100799230250879,1.1316318801291607,7.131285895901072
8.90909090909091,present,11.176470588235293,1,8.90909090909091,present,5.2456958066513,1.6550140765106283,2.624684908556283,9.557282856124338
9,absent,11.176470588235293,1,9,absent,2.166995363903685,0.982918906722378,1.1176676115657462,7.048124794001234
9,present,11.176470588235293,1,9,present,5.153216026340444,1.660607986959823,2.555575041626074,9.500999101005734
9.090909090909092,absent,11.176470588235293,1,9.090909090909092,absent,2.1125578564009992,0.956232658145112,1.1043203571616609,6.955068115242558
9.090909090909092,present,11.176470588235293,1,9.090909090909092,present,5.061880661156238,1.6626520435811778,2.486610867574784,9.436373633987747
9.181818181818182,absent,11.176470588235293,1,9.181818181818182,absent,2.0604172170729287,0.9286098300804989,1.0924124009105798,6.880781138088286
9.181818181818182,present,11.176470588235293,1,9.181818181818182,present,4.972591279537429,1.6597900676205901,2.4208939083406262,9.366923736656382
9.272727272727273,absent,11.176470588235293,1,9.272727272727273,absent,2.010890648286387,0.9049540281236752,1.082468223476001,6.80387278199133
9.272727272727273,present,11.176470588235293,1,9.272727272727273,present,4.878454642312242,1.6613358391592787,2.3544815929499103,9.30146344408968
9.363636363636363,absent,11.176470588235293,1,9.363636363636363,absent,1.9640976603732896,0.8799864842328889,1.0738300161269132,6.739115208231142
9.363636363636363,present,11.176470588235293,1,9.363636363636363,present,4.79103658267872,1.6619075635661575,2.294892372160143,9.230516106770066
